modelo,mae_home,mae_away,mae_promedio,rmse_home,rmse_away,rmse_promedio,r2_home,r2_away,r2_promedio,accuracy_resultado,confusion_HH,confusion_HD,confusion_HA,confusion_DH,confusion_DD,confusion_DA,confusion_AH,confusion_AD,confusion_AA
Ridge,1.0647035863619507,0.8861896143319714,0.9754466003469611,1.4078534174419417,1.2211543233932103,1.314503870417576,0.2816482130302327,0.27706705421675804,0.27935763362349536,0.6240474174428451,477,0,82,153,1,107,102,0,259
Regresion Lineal,1.0647044925760536,0.886188826004196,0.9754466592901248,1.4078315984566705,1.2211190286407039,1.3144753135486873,0.2816704789641845,0.27710884315395223,0.2793896610590684,0.6240474174428451,477,0,82,153,1,107,102,0,259
Poisson,1.0720360043300632,0.8820326784212542,0.9770343413756587,1.4075122909198214,1.2063505887465935,1.3069314398332075,0.28199628784502195,0.2944886656660233,0.2882424767555226,0.6248941574936494,481,0,78,159,1,101,105,0,256
Random Forest,1.0822659734576667,0.8881405600628423,0.9852032667602545,1.4174158247620332,1.2149043085497755,1.3161600666559043,0.27185670965168374,0.2844482325778751,0.2781524711147794,0.6232006773920407,477,0,82,160,0,101,102,0,259
Gradient Boosting,1.1060291178576582,0.881766657747393,0.9938978878025256,1.4703126643291582,1.2163907501912683,1.3433517072602132,0.21649514190742392,0.2826961989203365,0.2495956704138802,0.6274343776460627,476,5,78,156,6,99,101,1,259
